SOR,ID,KATEGÓRIA,MODUL,VÁLTOZAT,HELY,MEZŐ,PLATFORM,JELENLEGI SZÖVEG,JAVÍTOTT SZÖVEG,MEGJEGYZÉS,FÁJL
100,04.REACT-A.choice.instruction.desktop,1 FELADAT,04 REACT,A,choice,instrukció,asztali,"A gömb PIROS vagy KÉK színben villan fel. Ha PIROS, nyomd meg az F billentyűt (vagy a balra nyilat); ha KÉK, a J billentyűt (vagy a jobbra nyilat). Tartsd a két mutatóujjad az F-en és a J-n. A jó válasz fontosabb, mint a gyors — de mindkettőt mérjük.",,,packages/client/src/modules/
101,04.REACT-A.choice.instruction.mobile,1 FELADAT,04 REACT,A,choice,instrukció,mobil,"A gömb PIROS vagy KÉK színben villan fel. Ha PIROS, nyomd meg a képernyő alján a BAL gombot; ha KÉK, a JOBB gombot. A jó válasz fontosabb, mint a gyors — de mindkettőt mérjük.",,,packages/client/src/modules/
102,04.REACT-A.choice.hint.vr,1 FELADAT,04 REACT,A,choice,IRÁNYÍTÁS sor,VR,PIROS → BAL ravasz · KÉK → JOBB ravasz,,,packages/client/src/modules/
103,04.REACT-A.choice.hint.desktop,1 FELADAT,04 REACT,A,choice,IRÁNYÍTÁS sor,asztali,PIROS → F (vagy ←) · KÉK → J (vagy →),,,packages/client/src/modules/
104,04.REACT-A.choice.hint.mobile,1 FELADAT,04 REACT,A,choice,IRÁNYÍTÁS sor,mobil,PIROS → BAL gomb · KÉK → JOBB gomb,,,packages/client/src/modules/
105,04.REACT-A.point.cim,1 FELADAT,04 REACT,A,point,blokk címe,mind,CÉLRA MUTATÁS,,,packages/client/src/modules/
106,04.REACT-A.point.instruction.vr,1 FELADAT,04 REACT,A,point,instrukció,VR,"Egy célgyűrű jelenik meg, minden alkalommal máshol. Irányítsd rá a kontroller sugarát, és a gyűrű közepén húzd meg a ravaszt. Külön mérjük, milyen gyorsan indul a mozdulatod, meddig tart, és milyen pontosan ér célba.",,,packages/client/src/modules/
107,04.REACT-A.point.instruction.desktop,1 FELADAT,04 REACT,A,point,instrukció,asztali,"Egy célgyűrű jelenik meg, minden alkalommal máshol. Vidd rá az egérkurzort, és a gyűrű közepén kattints. Külön mérjük, milyen gyorsan indul a mozdulatod, meddig tart, és milyen pontosan ér célba.",,,packages/client/src/modules/
108,04.REACT-A.point.instruction.mobile,1 FELADAT,04 REACT,A,point,instrukció,mobil,"Egy célgyűrű jelenik meg, minden alkalommal máshol. Koppints a gyűrű közepére — egy koppintás, egy próba. Azt mérjük, milyen gyorsan és milyen pontosan találod el.",,,packages/client/src/modules/
109,04.REACT-A.point.hint.vr,1 FELADAT,04 REACT,A,point,IRÁNYÍTÁS sor,VR,"Sugár a gyűrű közepére, majd RAVASZ.",,,packages/client/src/modules/
110,04.REACT-A.point.hint.desktop,1 FELADAT,04 REACT,A,point,IRÁNYÍTÁS sor,asztali,"Egérkurzor a gyűrű közepére, majd kattintás.",,,packages/client/src/modules/
111,04.REACT-A.point.hint.mobile,1 FELADAT,04 REACT,A,point,IRÁNYÍTÁS sor,mobil,Koppints a gyűrű közepére.,,,packages/client/src/modules/
112,04.REACT-A.track.cim,1 FELADAT,04 REACT,A,track,blokk címe,mind,FOLYAMATOS KÖVETÉS,,,packages/client/src/modules/
113,04.REACT-A.track.instruction.vr,1 FELADAT,04 REACT,A,track,instrukció,VR,"A gömb folyamatosan mozog. Tartsd rajta a kontroller sugarát, amíg csak tudod — gombot nem kell nyomnod. Azt mérjük, az idő mekkora részében vagy a célon, és mennyire térsz el tőle.",,,packages/client/src/modules/
114,04.REACT-A.track.instruction.desktop,1 FELADAT,04 REACT,A,track,instrukció,asztali,"A gömb folyamatosan mozog. Kövesd az egérkurzorral, amíg csak tudod — kattintani nem kell. Azt mérjük, az idő mekkora részében vagy a célon, és mennyire térsz el tőle.",,,packages/client/src/modules/
115,04.REACT-A.track.instruction.mobile,1 FELADAT,04 REACT,A,track,instrukció,mobil,"A gömb folyamatosan mozog. Tedd rá az ujjad, és kövesd vele, amíg csak tudod. Ha felemeled az ujjad, a mérés addig szünetel. Azt mérjük, az idő mekkora részében vagy a célon, és mennyire térsz el tőle.",,,packages/client/src/modules/
116,04.REACT-A.track.hint.vr,1 FELADAT,04 REACT,A,track,IRÁNYÍTÁS sor,VR,Tartsd a sugarat a gömbön. Gombot nem kell nyomni.,,,packages/client/src/modules/
117,04.REACT-A.track.hint.desktop,1 FELADAT,04 REACT,A,track,IRÁNYÍTÁS sor,asztali,Kövesd az egérrel. Kattintani nem kell.,,,packages/client/src/modules/
118,04.REACT-A.track.hint.mobile,1 FELADAT,04 REACT,A,track,IRÁNYÍTÁS sor,mobil,"Tartsd rajta az ujjad. Ha felemeled, a mérés szünetel.",,,packages/client/src/modules/
119,04.REACT-A.twohand.cim,1 FELADAT,04 REACT,A,twohand,blokk címe,mind,KÉT KÉZ,,,packages/client/src/modules/
120,04.REACT-A.twohand.instruction.vr,1 FELADAT,04 REACT,A,twohand,instrukció,VR,"Két gömb: egy bal és egy jobb. Amelyik felvillan, azon az oldalon húzd meg a ravaszt — a bal gömbre a bal kézzel, a jobbra a jobbal. Néha mindkettő egyszerre villan: akkor mindkét ravaszt húzd meg egyszerre.",,,packages/client/src/modules/
121,04.REACT-A.twohand.instruction.desktop,1 FELADAT,04 REACT,A,twohand,instrukció,asztali,"Két gömb: egy bal és egy jobb. Amelyik felvillan, annak az oldalán nyomj: a bal gömbre az F billentyűt, a jobbra a J-t. Néha mindkettő egyszerre villan: akkor mindkettőt nyomd meg egyszerre.",,,packages/client/src/modules/
122,04.REACT-A.twohand.instruction.mobile,1 FELADAT,04 REACT,A,twohand,instrukció,mobil,"Két gömb: egy bal és egy jobb. Amelyik felvillan, annak az oldalán nyomd meg a képernyő alján a gombot: a bal gömbre a BAL, a jobbra a JOBB gombot. Néha mindkettő egyszerre villan: akkor mindkettőt nyomd meg egyszerre.",,,packages/client/src/modules/
123,04.REACT-A.twohand.hint.vr,1 FELADAT,04 REACT,A,twohand,IRÁNYÍTÁS sor,VR,Bal gömb → BAL ravasz · jobb gömb → JOBB ravasz · mindkettő → mindkettő,,,packages/client/src/modules/
124,04.REACT-A.twohand.hint.desktop,1 FELADAT,04 REACT,A,twohand,IRÁNYÍTÁS sor,asztali,Bal gömb → F · jobb gömb → J · mindkettő → F és J együtt,,,packages/client/src/modules/
125,04.REACT-A.twohand.hint.mobile,1 FELADAT,04 REACT,A,twohand,IRÁNYÍTÁS sor,mobil,Bal gömb → BAL gomb · jobb gömb → JOBB gomb · mindkettő → mindkettő,,,packages/client/src/modules/
126,04.REACT-B.reach.cim,1 FELADAT,04 REACT,B,reach,blokk címe,mind,NYÚLÁS,,,packages/client/src/modules/
127,04.REACT-B.reach.instruction,1 FELADAT,04 REACT,B,reach,instrukció,mind,"Karnyújtásnyira egy célgömb jelenik meg — hol közel, hol távolabb, hol oldalt. Nyúlj oda a kontrollerrel, és érintsd meg vele a gömböt; utána térj vissza a kiinduló gyűrűhöz. Itt nem a sugárral kell mutatni: tényleg oda kell nyúlni. Gyorsan, de pontosan.",,,packages/client/src/modules/
128,04.REACT-B.reach.hint,1 FELADAT,04 REACT,B,reach,IRÁNYÍTÁS sor,mind,"Érintsd meg a gömböt a kontrollerrel, majd térj vissza a gyűrűhöz.",,,packages/client/src/modules/
129,04.REACT-B.intercept.cim,1 FELADAT,04 REACT,B,intercept,blokk címe,mind,ELFOGÁS,,,packages/client/src/modules/
130,04.REACT-B.intercept.instruction,1 FELADAT,04 REACT,B,intercept,instrukció,mind,"Gömbök repülnek feléd. Üsd el őket a kontrollerrel, mielőtt elérnék a fejedet. Nem elég a jó helyen lenned — a jó pillanatban is ott kell lenned.",,,packages/client/src/modules/
131,04.REACT-B.intercept.hint,1 FELADAT,04 REACT,B,intercept,IRÁNYÍTÁS sor,mind,"Üsd el a közeledő gömböt a kontrollerrel, mielőtt elérné a fejedet.",,,packages/client/src/modules/
132,04.REACT-B.track3d.cim,1 FELADAT,04 REACT,B,track3d,blokk címe,mind,TÉRBELI KÖVETÉS,,,packages/client/src/modules/
133,04.REACT-B.track3d.instruction,1 FELADAT,04 REACT,B,track3d,instrukció,mind,"A gömb most nemcsak jobbra-balra mozog, hanem KÖZELEDIK és TÁVOLODIK is. Tartsd rajta a kontroller hegyét, ameddig csak tudod — gombot nem kell nyomnod.",,,packages/client/src/modules/
134,04.REACT-B.track3d.hint,1 FELADAT,04 REACT,B,track3d,IRÁNYÍTÁS sor,mind,Tartsd a kontroller hegyét a mozgó gömbön. Gombot nem kell nyomni.,,,packages/client/src/modules/
135,04.REACT-B.bimanual.cim,1 FELADAT,04 REACT,B,bimanual,blokk címe,mind,"KÉT KÉZ, KÉT TÁVOLSÁG",,,packages/client/src/modules/
136,04.REACT-B.bimanual.instruction,1 FELADAT,04 REACT,B,bimanual,instrukció,mind,"Két cél jelenik meg egyszerre: az egyik közel, a másik távolabb. A bal kezeddel a bal célt, a jobbal a jobbat érintsd meg — egyszerre. A nehézség az, hogy a két kéznek különböző távolságra kell nyúlnia.",,,packages/client/src/modules/
137,04.REACT-B.bimanual.hint,1 FELADAT,04 REACT,B,bimanual,IRÁNYÍTÁS sor,mind,Bal kéz → bal cél · jobb kéz → jobb cél · egyszerre.,,,packages/client/src/modules/
138,05.MULTI.baseline.cim,1 FELADAT,05 MULTI,-,baseline,blokk címe,mind,EGYESÉVEL,,,packages/client/src/modules/
139,05.MULTI.baseline.instruction.vr,1 FELADAT,05 MULTI,-,baseline,instrukció,VR,"Négy állomás vesz körül. KÖVETÉS: egy korong sodródik — a BAL kar mozgatásával tartsd a gyűrű közepén. RENDSZER: két jelzőfény és négy skála — amelyik eltér a normálistól, arra mutass a jobb kontrollerrel, és húzd meg a ravaszt. TARTÁLYOK: két tartály szintjét tartsd a zöld sávban a szivattyúk ki-bekapcsolásával (mutass rá, ravasz). RÁDIÓ: hívások érkeznek — csak a SAJÁT hívójeledre válaszolj, a mondott csatorna kiválasztásával. Most mindegyiket külön kapod, egyenként 50 másodpercre: ez lesz az összehasonlítási alap.",,,packages/client/src/modules/
140,05.MULTI.baseline.instruction.desktop,1 FELADAT,05 MULTI,-,baseline,instrukció,asztali,"Négy állomás lesz előtted. KÖVETÉS: egy korong sodródik — a WASD vagy a nyíl billentyűkkel tartsd a gyűrű közepén. RENDSZER: két jelzőfény és négy skála — amelyik eltér a normálistól, arra kattints. TARTÁLYOK: két tartály szintjét tartsd a zöld sávban a szivattyúk ki-bekapcsolásával (kattints a szivattyúra). RÁDIÓ: hívások érkeznek — csak a SAJÁT hívójeledre válaszolj, a mondott csatornára kattintva. Most mindegyiket külön kapod, egyenként 50 másodpercre: ez lesz az összehasonlítási alap.",,,packages/client/src/modules/
141,05.MULTI.baseline.instruction.mobile,1 FELADAT,05 MULTI,-,baseline,instrukció,mobil,"Négy állomás lesz előtted. KÖVETÉS: egy korong sodródik — a bal alsó sarokban lévő karral, a bal hüvelykujjaddal tartsd a gyűrű közepén. RENDSZER: két jelzőfény és négy skála — amelyik eltér a normálistól, arra koppints. TARTÁLYOK: két tartály szintjét tartsd a zöld sávban a szivattyúk ki-bekapcsolásával (koppints a szivattyúra). RÁDIÓ: hívások érkeznek — csak a SAJÁT hívójeledre válaszolj, a mondott csatornára koppintva. Most mindegyiket külön kapod, egyenként 50 másodpercre: ez lesz az összehasonlítási alap.",,,packages/client/src/modules/
142,05.MULTI.baseline.hint.vr,1 FELADAT,05 MULTI,-,baseline,IRÁNYÍTÁS sor,VR,BAL kar: követés · JOBB kontroller sugara + RAVASZ: válasz az állomásokon,,,packages/client/src/modules/
143,05.MULTI.baseline.hint.desktop,1 FELADAT,05 MULTI,-,baseline,IRÁNYÍTÁS sor,asztali,WASD vagy nyilak: követés · kattintás: válasz az állomásokon,,,packages/client/src/modules/
144,05.MULTI.baseline.hint.mobile,1 FELADAT,05 MULTI,-,baseline,IRÁNYÍTÁS sor,mobil,Bal hüvelyk a karon: követés · koppintás: válasz az állomásokon,,,packages/client/src/modules/
145,05.MULTI.dual.cim,1 FELADAT,05 MULTI,-,dual,blokk címe,mind,KETTŐ EGYSZERRE,,,packages/client/src/modules/
146,05.MULTI.dual.instruction.vr,1 FELADAT,05 MULTI,-,dual,instrukció,VR,"Most a KÖVETÉS és a RENDSZER megy egyszerre. A bal kezed a karon marad és tartja a korongot középen; a jobb kezeddel közben mutatsz és válaszolsz a rendszerállomáson. Nem lehet mindkettőt tökéletesen — az a kérdés, hogyan osztod meg a figyelmed.",,,packages/client/src/modules/
147,05.MULTI.dual.instruction.desktop,1 FELADAT,05 MULTI,-,dual,instrukció,asztali,"Most a KÖVETÉS és a RENDSZER megy egyszerre. A bal kezed a WASD-n marad és tartja a korongot középen; a jobb kezeddel közben az egérrel kattintasz a rendszerállomáson. Nem lehet mindkettőt tökéletesen — az a kérdés, hogyan osztod meg a figyelmed.",,,packages/client/src/modules/
148,05.MULTI.dual.instruction.mobile,1 FELADAT,05 MULTI,-,dual,instrukció,mobil,"Most a KÖVETÉS és a RENDSZER megy egyszerre. A bal hüvelykujjad a karon marad és tartja a korongot középen; a jobb hüvelykujjaddal közben koppintasz a rendszerállomáson. Nem lehet mindkettőt tökéletesen — az a kérdés, hogyan osztod meg a figyelmed.",,,packages/client/src/modules/
149,05.MULTI.dual.hint.vr,1 FELADAT,05 MULTI,-,dual,IRÁNYÍTÁS sor,VR,BAL kar: követés · JOBB kontroller sugara + RAVASZ: válasz az állomásokon,,,packages/client/src/modules/
150,05.MULTI.dual.hint.desktop,1 FELADAT,05 MULTI,-,dual,IRÁNYÍTÁS sor,asztali,WASD vagy nyilak: követés · kattintás: válasz az állomásokon,,,packages/client/src/modules/
151,05.MULTI.dual.hint.mobile,1 FELADAT,05 MULTI,-,dual,IRÁNYÍTÁS sor,mobil,Bal hüvelyk a karon: követés · koppintás: válasz az állomásokon,,,packages/client/src/modules/
152,05.MULTI.load.cim,1 FELADAT,05 MULTI,-,load,blokk címe,mind,MIND A NÉGY,,,packages/client/src/modules/
153,05.MULTI.load.instruction.vr,1 FELADAT,05 MULTI,-,load,instrukció,VR,"Mind a négy állomás egyszerre, két szakaszban. Az állomások körülötted vannak, ezért egyszerre legfeljebb kettőt látsz — fordulj oda, amelyikre figyelni akarsz. A második szakaszban sűrűbben történnek a dolgok. Nem lehet mindent tökéletesen csinálni: az a kérdés, mit engedsz el.",,,packages/client/src/modules/
154,05.MULTI.load.instruction.desktop,1 FELADAT,05 MULTI,-,load,instrukció,asztali,"Mind a négy állomás egyszerre, két szakaszban — mind a négy a képernyőn van. A második szakaszban sűrűbben történnek a dolgok. Nem lehet mindent tökéletesen csinálni: az a kérdés, mit engedsz el.",,,packages/client/src/modules/
155,05.MULTI.load.instruction.mobile,1 FELADAT,05 MULTI,-,load,instrukció,mobil,"Mind a négy állomás egyszerre, két szakaszban — mind a négy a képernyőn van. A második szakaszban sűrűbben történnek a dolgok. Nem lehet mindent tökéletesen csinálni: az a kérdés, mit engedsz el.",,,packages/client/src/modules/
156,05.MULTI.load.hint.vr,1 FELADAT,05 MULTI,-,load,IRÁNYÍTÁS sor,VR,BAL kar: követés · JOBB kontroller sugara + RAVASZ: válasz az állomásokon,,,packages/client/src/modules/
157,05.MULTI.load.hint.desktop,1 FELADAT,05 MULTI,-,load,IRÁNYÍTÁS sor,asztali,WASD vagy nyilak: követés · kattintás: válasz az állomásokon,,,packages/client/src/modules/
158,05.MULTI.load.hint.mobile,1 FELADAT,05 MULTI,-,load,IRÁNYÍTÁS sor,mobil,Bal hüvelyk a karon: követés · koppintás: válasz az állomásokon,,,packages/client/src/modules/
159,06.WATCH.calibration.cim,1 FELADAT,06 WATCH,-,calibration,blokk címe,mind,KALIBRÁCIÓ,,,packages/client/src/modules/
160,06.WATCH.calibration.instruction.vr,1 FELADAT,06 WATCH,-,calibration,instrukció,VR,"Körülötted fények pulzálnak, mind ugyanabban az ütemben. Az a dolgod, hogy észrevedd, ha BÁRMELYIK kilép a közös ütemből: kihagy egy pulzust, duplán villan, színt vált vagy elmozdul. Amint ilyet látsz, húzd meg a ravaszt. Ebben a rövid részben sűrűn lesznek események — ez azt méri, mit veszel észre pihenten.",,,packages/client/src/modules/
161,06.WATCH.calibration.instruction.desktop,1 FELADAT,06 WATCH,-,calibration,instrukció,asztali,"Előtted fények pulzálnak, mind ugyanabban az ütemben. Az a dolgod, hogy észrevedd, ha BÁRMELYIK kilép a közös ütemből: kihagy egy pulzust, duplán villan, színt vált vagy elmozdul. Amint ilyet látsz, nyomd meg a SZÓKÖZT (vagy kattints). Ebben a rövid részben sűrűn lesznek események — ez azt méri, mit veszel észre pihenten.",,,packages/client/src/modules/
162,06.WATCH.calibration.instruction.mobile,1 FELADAT,06 WATCH,-,calibration,instrukció,mobil,"Előtted fények pulzálnak, mind ugyanabban az ütemben. Az a dolgod, hogy észrevedd, ha BÁRMELYIK kilép a közös ütemből: kihagy egy pulzust, duplán villan, színt vált vagy elmozdul. Amint ilyet látsz, nyomd meg a képernyő alján az ELTÉRÉS gombot. Ebben a rövid részben sűrűn lesznek események — ez azt méri, mit veszel észre pihenten.",,,packages/client/src/modules/
163,06.WATCH.calibration.hint.vr,1 FELADAT,06 WATCH,-,calibration,IRÁNYÍTÁS sor,VR,"Fordulj körbe nyugodtan — az események a hátad mögött is történhetnek. RAVASZ, amint bármelyik fény kilép a közös ütemből.",,,packages/client/src/modules/
164,06.WATCH.calibration.hint.desktop,1 FELADAT,06 WATCH,-,calibration,IRÁNYÍTÁS sor,asztali,"SZÓKÖZ vagy kattintás, amint bármelyik fény kilép a közös ütemből.",,,packages/client/src/modules/
165,06.WATCH.calibration.hint.mobile,1 FELADAT,06 WATCH,-,calibration,IRÁNYÍTÁS sor,mobil,"ELTÉRÉS gomb a képernyő alján, amint bármelyik fény kilép a közös ütemből.",,,packages/client/src/modules/
166,06.WATCH.watchA.cim,1 FELADAT,06 WATCH,-,watchA,blokk címe,mind,SZOLGÁLAT A,,,packages/client/src/modules/
167,06.WATCH.watchA.instruction.vr,1 FELADAT,06 WATCH,-,watchA,instrukció,VR,"Négy perc figyelés. Az események most jóval ritkábbak, és bárhol történhetnek — akár a hátad mögött is. Fordulj körbe folyamatosan: amit nem nézel, azt nem látod. A hátad mögött induló eltérés tovább marad, hogy legyen időd megfordulni. Ugyanúgy a ravasszal jelezz. Visszajelzést nem kapsz — ez szándékos.",,,packages/client/src/modules/
168,06.WATCH.watchA.instruction.desktop,1 FELADAT,06 WATCH,-,watchA,instrukció,asztali,"Négy perc figyelés. Az események most jóval ritkábbak, és a rács bármelyik pontján történhetnek, a szélein is. Ugyanúgy a SZÓKÖZZEL (vagy kattintással) jelezz. Visszajelzést nem kapsz — ez szándékos.",,,packages/client/src/modules/
169,06.WATCH.watchA.instruction.mobile,1 FELADAT,06 WATCH,-,watchA,instrukció,mobil,"Négy perc figyelés. Az események most jóval ritkábbak, és a rács bármelyik pontján történhetnek, a szélein is. Ugyanúgy az ELTÉRÉS gombbal jelezz. Visszajelzést nem kapsz — ez szándékos.",,,packages/client/src/modules/
170,06.WATCH.watchA.hint.vr,1 FELADAT,06 WATCH,-,watchA,IRÁNYÍTÁS sor,VR,"Fordulj körbe nyugodtan — az események a hátad mögött is történhetnek. RAVASZ, amint bármelyik fény kilép a közös ütemből.",,,packages/client/src/modules/
171,06.WATCH.watchA.hint.desktop,1 FELADAT,06 WATCH,-,watchA,IRÁNYÍTÁS sor,asztali,"SZÓKÖZ vagy kattintás, amint bármelyik fény kilép a közös ütemből.",,,packages/client/src/modules/
172,06.WATCH.watchA.hint.mobile,1 FELADAT,06 WATCH,-,watchA,IRÁNYÍTÁS sor,mobil,"ELTÉRÉS gomb a képernyő alján, amint bármelyik fény kilép a közös ütemből.",,,packages/client/src/modules/
173,06.WATCH.watchB.cim,1 FELADAT,06 WATCH,-,watchB,blokk címe,mind,SZOLGÁLAT B,,,packages/client/src/modules/
174,06.WATCH.watchB.instruction.vr,1 FELADAT,06 WATCH,-,watchB,instrukció,VR,"Még négy perc. A rács most lassan forog körülötted, tehát a fények helye folyamatosan változik. Néha hang is jelezhet eseményt — abból az irányból, ahol történt. Ugyanúgy a ravasszal jelezz.",,,packages/client/src/modules/
